City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Challakere,0,IN,1553305198,37,14.31,76.65,81.68,5.41
Cape Town,0,ZA,1553304768,77,-33.93,18.42,70.0,11.41
Puerto Ayora,0,EC,1553304641,78,-0.74,-90.35,82.4,6.93
Albany,90,US,1553304901,74,42.65,-73.75,37.99,21.92
Tasiilaq,68,GL,1553302200,55,65.61,-37.64,8.6,9.17
Antalaha,76,MG,1553305199,94,-14.9,50.28,77.45,7.65
Tessalit,92,ML,1553305199,16,20.2,1.01,66.38,9.44
Yulara,0,AU,1553302800,12,-25.24,130.99,96.8,14.99
Aswan,0,EG,1553302800,51,24.09,32.9,75.2,6.93
Chicama,20,PE,1553302800,83,-7.84,-79.15,69.8,11.41
Namatanai,24,PG,1553305200,100,-3.66,152.44,83.03,0.6
Marrakesh,0,MA,1553302800,38,31.63,-7.99,60.8,2.24
Busselton,0,AU,1553304916,40,-33.64,115.35,66.0,13.24
Kavieng,8,PG,1553305201,100,-2.57,150.8,82.4,7.87
Zhangjiakou,0,CN,1553304958,71,40.77,114.88,29.48,6.08
Novo Oriente,92,BR,1553305201,98,-5.54,-40.77,69.26,3.4
Ushuaia,90,AR,1553302800,93,-54.81,-68.31,46.4,8.05
Port Elizabeth,1,US,1553305199,69,39.31,-74.98,44.6,6.93
Dikson,64,RU,1553305201,100,73.51,80.55,1.04,19.06
Arraial do Cabo,75,BR,1553302800,78,-22.97,-42.02,73.4,4.7
Port Alfred,68,ZA,1553304949,95,-33.59,26.89,66.0,1.01
Ocala,1,US,1553304936,62,29.19,-82.14,64.4,5.82
Peniche,0,PT,1553305084,75,39.36,-9.38,59.0,2.24
Rikitea,88,PF,1553305202,100,-23.12,-134.97,78.35,18.84
Cravo Norte,32,CO,1553305202,84,6.3,-70.2,77.36,2.95
Bogorodskoye,12,RU,1553305203,54,52.37,140.44,18.68,5.08
Mar del Plata,88,AR,1553304907,70,-46.43,-67.52,60.44,14.36
Dubbo,36,AU,1553302800,43,-32.25,148.6,87.8,16.11
Kieta,56,PG,1553305112,94,-6.22,155.63,83.21,3.96
Byron Bay,0,AU,1553305094,55,-28.65,153.62,86.0,4.7
Castro,75,CL,1553302800,100,-42.48,-73.76,53.6,11.41
Pisco,0,PE,1553302800,83,-13.71,-76.2,69.8,16.11
Faanui,56,PF,1553305204,100,-16.48,-151.75,85.1,6.98
Bongandanga,64,CD,1553304934,88,1.51,21.07,75.38,2.95
Mataura,64,NZ,1553305204,48,-46.19,168.86,76.82,5.19
Punta Arenas,75,CL,1553304787,87,-53.16,-70.91,50.0,11.41
Rawson,56,AR,1553305204,53,-43.3,-65.11,61.52,10.0
Christchurch,0,NZ,1553304784,64,-43.53,172.64,69.8,8.05
Biak,44,ID,1553305205,81,-0.91,122.88,85.55,2.62
Nikolskoye,0,RU,1553305125,74,59.7,30.79,32.0,4.47
Carnarvon,56,ZA,1553305205,67,-30.97,22.13,49.46,3.51
Nipawin,1,CA,1553302800,86,53.36,-104.02,37.4,9.17
Ancud,75,CL,1553302800,100,-41.87,-73.83,53.6,11.41
Walvis Bay,0,NA,1553302800,87,-22.95,14.51,61.0,6.93
Muisne,48,EC,1553304962,90,0.61,-80.02,72.05,2.73
Neryungri,36,RU,1553305206,57,56.66,124.71,14.9,7.09
Dourbali,0,TD,1553305206,65,11.81,15.86,73.58,2.95
Semenivka,68,UA,1553305206,67,52.18,32.58,33.35,20.07
Berlevag,68,NO,1553305207,100,70.86,29.09,31.37,21.74
Vaini,0,IN,1553302800,40,15.34,74.49,69.8,4.18
Jamestown,100,AU,1553305207,67,-33.21,138.6,73.22,12.91
Norman Wells,90,CA,1553302800,79,65.28,-126.83,23.0,5.64
Gorontalo,20,ID,1553305207,69,0.54,123.06,85.82,2.62
Saskylakh,36,RU,1553305207,85,71.97,114.09,-2.93,17.05
Clyde River,90,CA,1553302800,75,70.47,-68.59,-18.41,6.93
Bluff,0,AU,1553305208,50,-23.58,149.07,90.32,8.21
New Norfolk,75,AU,1553305042,53,-42.78,147.06,73.0,11.41
Domna,40,RU,1553302800,53,51.9,113.16,23.0,11.18
Saldanha,0,PT,1553305208,81,41.42,-6.55,30.92,2.73
Margate,75,AU,1553304916,53,-43.03,147.26,73.0,11.41
Moyale,0,ET,1553305208,50,3.52,39.05,64.13,5.75
College,90,US,1553304613,42,64.86,-147.8,46.4,9.17
Whitehorse,75,CA,1553303709,35,60.72,-135.06,55.99,6.93
Butaritari,88,KI,1553305208,100,3.07,172.79,77.18,2.62
Hobart,75,AU,1553305095,53,-42.88,147.33,73.0,11.41
Hermanus,12,ZA,1553304656,88,-34.42,19.24,63.0,10.0
Caravelas,100,BR,1553304963,100,-17.73,-39.27,79.43,20.29
Upernavik,20,GL,1553304933,100,72.79,-56.15,-13.91,6.64
Iqaluit,75,CA,1553304762,67,63.75,-68.52,-22.01,2.62
Shimoda,75,JP,1553302800,70,34.7,138.93,51.8,23.04
East London,92,ZA,1553305209,100,-33.02,27.91,73.67,20.29
Maniitsoq,0,GL,1553305209,100,65.42,-52.9,-12.02,8.99
Bull Savanna,68,JM,1553305210,79,17.89,-77.59,71.15,1.95
Talnakh,0,RU,1553305210,66,69.49,88.39,-0.86,3.74
Sunrise Manor,1,US,1553304904,24,36.21,-115.07,69.8,9.17
Lima,0,PE,1553305208,78,-12.06,-77.04,71.6,11.41
San Pedro,0,AR,1553304915,77,-33.68,-59.66,59.0,3.06
Itagi,92,BR,1553305211,97,-14.16,-40.01,71.6,2.28
Cayenne,20,GF,1553302800,74,4.94,-52.33,80.6,8.05
Teahupoo,20,PF,1553304783,66,-17.83,-149.27,87.8,13.87
Morros,40,BR,1553302800,88,-2.87,-44.04,78.8,8.05
Pangnirtung,32,CA,1553305212,54,66.15,-65.72,-19.4,5.75
San Quintin,0,PH,1553305212,49,17.54,120.52,85.28,3.74
Bilibino,0,RU,1553304952,67,68.06,166.44,9.23,3.18
Meulaboh,20,ID,1553305212,100,4.14,96.13,82.67,4.07
Geraldton,5,CA,1553302800,45,49.72,-86.95,23.0,2.84
Pratapgarh,0,IN,1553305213,66,25.92,82.0,69.35,10.78
Honiara,32,SB,1553305213,86,-9.43,159.96,81.23,1.39
Torbay,90,CA,1553305073,80,47.66,-52.73,37.99,19.46
Constitucion,40,MX,1553302440,12,23.99,-104.67,69.8,14.99
Kapaa,40,US,1553305103,61,22.08,-159.32,80.6,17.22
Cabedelo,20,BR,1553302800,83,-6.97,-34.84,82.4,5.82
Nogliki,44,RU,1553305213,98,51.8,143.14,18.23,15.7
Puteyets,24,RU,1553305213,91,65.17,57.09,24.17,5.19
Champerico,75,MX,1553301660,64,16.38,-93.6,75.2,14.99
Atherton,75,GB,1553305211,87,53.52,-2.49,48.2,4.7
Ostrovnoy,64,RU,1553305214,83,68.05,39.51,20.66,19.06
Tabou,24,CI,1553305214,100,4.42,-7.36,82.31,10.45
Chara,75,GR,1553302200,87,39.42,22.43,46.4,2.62
Teknaf,0,BD,1553305214,68,20.86,92.31,83.39,2.62
Santa Barbara,1,US,1553304947,72,34.42,-119.7,60.8,6.93
Haines Junction,24,CA,1553305215,60,60.75,-137.51,40.37,2.06
Mayumba,92,GA,1553305215,100,-3.44,10.65,76.82,10.78
Banda Aceh,12,ID,1553305168,70,5.56,95.32,85.91,2.73
Kepno,0,PL,1553305068,9,51.28,17.99,41.0,2.84
Te Anau,24,NZ,1553304938,48,-45.41,167.72,71.51,3.62
Orikum,0,AL,1553305215,96,40.33,19.47,58.82,0.94
Bambous Virieux,40,MU,1553305141,94,-20.34,57.76,77.0,1.12
Narsaq,44,GL,1553302200,85,60.91,-46.05,23.0,4.7
Kristinehamn,92,SE,1553305209,93,59.31,14.11,46.4,17.22
Hilo,90,US,1553305208,61,19.71,-155.08,78.8,11.41
Derzhavinsk,92,KZ,1553305216,91,51.1,66.31,36.77,3.74
Waingapu,44,ID,1553305216,78,-9.65,120.26,84.29,13.35
Faya,0,SA,1553302800,58,18.39,42.45,60.8,6.93
Cranbrook,20,CA,1553302800,26,49.51,-115.76,60.8,3.36
Kodiak,1,US,1553305108,7,39.95,-94.76,53.6,3.36
Saint-Philippe,90,CA,1553305211,93,45.36,-73.48,37.4,23.04
Tuktoyaktuk,75,CA,1553302800,70,69.44,-133.03,-0.41,13.87
Filingue,8,NE,1553305217,20,14.35,3.32,75.02,11.12
Maryville,1,US,1553305108,7,40.35,-94.87,53.6,3.36
Los Llanos de Aridane,90,ES,1553304903,59,28.66,-17.92,64.4,18.34
Kogon,75,UZ,1553302800,87,39.73,64.54,50.0,9.17
Isangel,75,VU,1553302800,66,-19.55,169.27,87.8,6.93
Dovolnoye,8,RU,1553305218,64,54.5,79.67,16.88,3.18
SIM,92,BR,1553305218,98,-12.25,-38.93,70.7,4.97
Naze,40,NG,1553302800,94,5.43,7.07,77.0,6.53
Dwarka,0,IN,1553304608,59,28.58,77.04,79.0,9.17
Comarapa,44,BO,1553305218,97,-17.91,-64.53,51.98,2.39
Inta,88,RU,1553305218,90,66.04,60.13,27.86,6.42
Mahon,75,IE,1553302800,86,51.89,-8.4,39.2,3.36
Anchorage,75,US,1553305217,61,61.22,-149.89,48.2,6.93
Yarovoye,0,RU,1553305219,85,52.92,78.56,30.83,5.97
Iisalmi,0,FI,1553302200,63,63.56,27.19,30.2,16.11
Ust-Ilimsk,56,RU,1553304975,63,57.96,102.73,29.3,10.0
Bredasdorp,24,ZA,1553304640,93,-34.53,20.04,63.0,2.24
Longyearbyen,75,NO,1553302200,79,78.22,15.63,23.0,10.29
Barrow,0,AR,1553305220,65,-38.31,-60.23,60.98,12.57
Richards Bay,80,ZA,1553305220,99,-28.77,32.06,67.1,2.17
Mayo,20,CA,1553302800,33,63.59,-135.9,57.2,4.7
Zhigansk,68,RU,1553304934,72,66.77,123.37,12.2,10.67
Wufeng,75,TW,1553305213,82,24.63,121.12,64.99,25.28
Cabo San Lucas,5,MX,1553304920,56,22.89,-109.91,73.4,8.05
Tiksi,12,RU,1553305220,70,71.64,128.87,12.74,4.41
Hithadhoo,48,MV,1553305220,98,-0.6,73.08,86.09,5.3
Espinosa,88,BR,1553305221,97,-14.92,-42.81,67.91,7.2
Abha,0,SA,1553302800,58,18.22,42.5,60.8,6.93
Mao,75,DO,1553304962,69,19.55,-71.08,80.6,4.7
Terney,20,RU,1553305221,89,45.05,136.61,28.94,11.01
Mossendjo,80,CG,1553305221,98,-2.95,12.72,70.34,2.28
North Bend,75,US,1553304921,93,43.41,-124.22,53.01,5.82
Sakiai,0,LT,1553302200,74,54.95,23.04,28.4,1.12
Souillac,0,FR,1553305204,65,45.6,-0.6,48.2,2.24
Luanda,75,AO,1553302800,83,-8.83,13.24,78.8,6.93
Airai,8,TL,1553305222,57,-8.93,125.41,84.56,2.62
Taybad,64,IR,1553305222,100,34.74,60.78,33.8,3.96
Cap Malheureux,40,MU,1553305141,94,-19.98,57.61,77.0,1.12
Chipurupalle,0,IN,1553305222,76,18.32,83.57,80.69,2.95
Qaanaaq,20,GL,1553305222,92,77.48,-69.36,-29.57,9.33
Lebu,20,ET,1553299200,52,8.96,38.73,64.4,10.29
Changji,64,CN,1553305222,77,32.07,116.17,54.05,4.63
Lodja,56,CD,1553305223,98,-3.52,23.6,69.62,2.95
Necochea,0,AR,1553304989,71,-38.55,-58.74,60.01,1.01
Chervona Sloboda,76,UA,1553305223,84,50.74,33.96,31.1,17.49
Rio Gallegos,90,AR,1553302800,87,-51.62,-69.22,51.8,4.7
Mahebourg,40,MU,1553304840,94,-20.41,57.7,77.0,1.12
Half Moon Bay,90,US,1553304969,93,37.46,-122.43,57.2,13.87
Kudahuvadhoo,0,MV,1553305223,99,2.67,72.89,84.74,9.44
Kahta,0,TR,1553304000,75,37.78,38.62,48.0,2.28
Tautira,20,PF,1553304783,66,-17.73,-149.15,87.8,13.87
Sakaiminato,90,JP,1553304789,80,35.55,133.23,45.0,4.7
Hilotongan,12,PH,1553305224,100,11.14,123.64,81.59,12.12
Tyrma,48,RU,1553305224,45,50.04,132.17,18.05,6.31
Nchelenge,68,ZM,1553305224,100,-9.35,28.74,65.3,3.62
Port Hawkesbury,90,CA,1553305213,93,45.62,-61.36,42.01,12.75
Innisfail,40,CA,1553302800,83,52.02,-113.95,42.8,4.7
Agartala,20,BD,1553302800,94,23.83,91.28,69.8,3.96
Amambai,0,BR,1553305225,93,-23.11,-55.23,65.57,3.4
Aykhal,56,RU,1553305225,65,65.95,111.51,1.49,12.8
Cidreira,56,BR,1553305225,99,-30.17,-50.22,63.5,10.67
Nome,1,US,1553305209,48,30.04,-94.42,66.99,3.36
Tiarei,20,PF,1553304783,66,-17.53,-149.33,87.8,13.87
Harper,90,US,1553305222,56,30.3,-99.24,69.8,11.41
San Cristobal,40,EC,1553304653,87,-0.39,-78.55,57.2,5.82
Mogadishu,0,SO,1553305226,99,2.04,45.34,81.95,20.18
Ryabovo,44,RU,1553305202,10,60.34,28.99,27.0,3.96
Kashan,0,IR,1553302800,71,33.99,51.44,44.6,1.61
Lompoc,75,US,1553305125,76,34.64,-120.46,60.8,10.29
Sur,0,OM,1553305226,100,22.57,59.53,70.25,10.67
Verkhnevilyuysk,76,RU,1553305227,87,63.45,120.31,22.55,3.62
Sao Filipe,44,CV,1553305227,100,14.9,-24.5,69.35,14.14
Berdigestyakh,76,RU,1553304936,73,62.1,126.7,14.81,5.86
Tual,0,ID,1553305227,96,-5.67,132.75,85.28,12.24
Thompson,40,CA,1553302800,48,55.74,-97.86,42.8,9.17
Hami,0,CN,1553305227,53,42.84,93.51,43.7,5.19
Bethel,1,US,1553302560,65,60.79,-161.76,44.6,12.75
Avarua,100,CK,1553302800,79,-21.21,-159.78,86.0,5.82
Bayir,0,TR,1553302200,93,37.27,28.22,45.0,3.36
Ambilobe,32,MG,1553305228,93,-13.19,49.05,72.14,3.06
Georgetown,20,GY,1553302800,83,6.8,-58.16,78.8,11.41
Neuquen,0,AR,1553302800,72,-38.95,-68.06,62.6,6.98
Arroyo,90,US,1553305223,86,41.39,-78.88,30.2,17.22
Chuy,36,UY,1553305107,89,-33.69,-53.46,62.15,7.09
Bonavista,92,CA,1553304628,89,48.65,-53.11,30.0,7.0
Kavaratti,0,IN,1553305118,100,10.57,72.64,83.75,9.66
Cherskiy,0,RU,1553304937,68,68.75,161.3,7.43,2.95
Ashland,20,US,1553305205,56,38.48,-82.64,45.0,7.09
Abu Kamal,92,SY,1553305230,92,34.45,40.92,50.27,7.65
Namibe,0,AO,1553305230,100,-15.19,12.15,77.72,4.41
Saint George,75,GR,1553302200,87,39.45,22.34,46.4,2.62
Ocos,90,GT,1553301600,70,14.51,-92.19,84.2,1.95
Ponta do Sol,92,BR,1553305063,94,-20.63,-46.0,64.58,10.45
Hasaki,75,JP,1553302942,86,35.73,140.83,42.8,6.93
Chokurdakh,0,RU,1553305230,85,70.62,147.9,-2.75,8.99
Khrebtovaya,68,RU,1553305230,64,56.71,104.25,29.48,10.22
Broome,24,GB,1553304975,93,52.47,1.45,48.99,8.05
Marawi,0,PH,1553304712,78,8.0,124.29,80.01,5.99
Kawalu,20,ID,1553305231,80,-7.38,108.21,78.08,2.62
Bayan,0,MN,1553305231,41,47.25,107.54,32.36,7.65
Alberton,0,ZA,1553305225,77,-26.25,28.13,64.99,3.36
Inhambupe,92,BR,1553305231,98,-11.79,-38.36,71.33,7.09
Kaitangata,24,NZ,1553305231,83,-46.28,169.85,64.85,8.99
Sitka,88,US,1553304624,74,37.17,-99.65,53.01,5.99
Aklavik,90,CA,1553302800,66,68.22,-135.01,15.8,13.87
Selty,56,RU,1553305232,80,57.31,52.14,19.31,4.41
Mangai,36,CD,1553305232,93,-4.07,19.59,74.48,2.39
Banjar,80,ID,1553305161,87,-7.37,108.54,79.25,3.74
Tuyen Quang,100,VN,1553305232,95,21.82,105.22,70.25,5.64
